SYMBOL_x,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Ggt1,1.3101073138125288,1.2588715474944099,1.258919835886714,1.3090916510830566,1.073733002563741,1.0419560698593577,0.7417592505620008,0.8617319685878023,-0.2384812031980543,-0.29596061885400254,-0.3013387032332036,-0.24504091689014207
Slc39a4,0.08668098832355238,0.15720184588801941,-0.2537899106411339,-0.2958935896520369,-1.6180785458135258,-1.5382653989487647,-0.0914783694166742,-0.1596025390244671,0.6068163559496093,0.5821899888887684,-2.002628586136267,-2.0655675523856694
Ppl,0.8128061759059224,0.7420929178798078,0.9815366275403138,1.0870247619889184,1.241725907531715,1.2382770650937118,1.5927652210033871,1.7287198555149228,1.2661624818665556,1.3500035767474943,-1.2194821115988552,-1.0898197210135208
Slc25a1,0.7454419744930516,0.6400760986054227,0.5164989690673754,0.5328785588122011,0.4835791154302004,0.5276573598429551,0.6702492741022732,0.6031490340104452,0.31728439020611,0.2690607688241012,0.57163223704132,0.6242576880860129
St6gal1,0.9941565202971404,0.9951122146218312,0.7349637135986216,0.6820448380546723,0.1832980499364573,0.31208537727764957,0.1661518945087046,0.046804749279457374,0.787943435317857,0.8007653204572249,0.6058778802936775,0.5994791728903311
Cidea,-1.1465987783864098,-1.4951707741096028,-0.715102056723824,-0.59324240737334,-0.327911327707868,-0.4200809475773563,-0.58294664722666,-0.3595449151637471,0.15495689759283737,0.35120877161120906,0.8107627536344554,0.7960867622801525
Scd1,1.0382631417350041,0.9574674905120205,1.503893671850146,1.386381420568172,1.7386739155435311,1.7225720888284421,1.9803789775676295,1.9731076139387604,2.3228797823761806,2.438206788733653,2.200620712442367,2.1020629499705863
Pmvk,0.35985654865317906,0.4073395921251877,0.3696491202331964,0.422783193960476,0.47014389576433235,0.3694005918609478,0.31024789160639993,0.30376379309916607,-0.13369472611432912,-0.2396161782050238,-0.3400671762046609,-0.2945405671354069
Elovl6,0.4746115827999042,0.4615273519660842,0.4934816102556192,0.46491625511763063,0.5538965536987324,0.5420981340460628,0.621606784861358,0.44727254229862823,-0.10553251645499077,-0.29455344017368545,-0.13885318381473152,-0.16758423752594948
Egf,-1.01522124560285,-1.125354230371765,-1.4316636635817384,-1.464522880593895,-1.4384370803892683,-1.4624219391662805,-1.6685000227049434,-1.609195499797069,-1.5310297858631639,-1.5600384056911567,-0.6179444777245091,-0.5794860362153946
Slc39a8,0.2686110205104067,0.3763041027225397,0.2863700855264972,0.3455987829281772,0.028738522312093732,0.20320215850202583,-0.9394759324081171,-0.9649621270637084,-1.7134856985219797,-1.523791770352768,-0.2458307010505245,-0.26349395731422104
Ddah1,-0.8712030387516575,-1.0002930349489798,-1.3518317786471727,-1.0079556108705707,-1.2196829465018877,-1.2983519128972385,-1.3058548705698947,-1.2941529663656743,-1.7134856985219797,-1.6847508051491749,-0.4028901440401055,-0.44906840764424105
Slc30a2,-0.45380875583822616,-0.37242716232142986,-0.6852201080082359,-0.8933285036199823,-1.190022637936431,-1.2152616669745453,-0.6436034392207701,-0.7876853941406707,-0.1668033650236701,-0.23579358854350163,-0.15519578017763566,-0.14647873216054547
Slc34a2,-0.8137123841781306,-0.5958088414554022,-0.18908823242808123,-0.3064510332535015,-0.344741966479777,-0.2360689507682498,-0.014763380493148803,0.11116784774872202,0.5674390941476827,0.4693499588066364,0.792067640946343,0.838747691620159
Csn1s2b,-1.6701776419991496,-1.4951707741096028,-1.1201353124571185,-0.98694842517747,0.8963407452394486,0.8050168208001284,-0.6436034392207701,-0.8872878412476859,-0.39730155079399015,-0.2244747561780051,1.6495705388230613,1.5360229325677872
Acacb,0.12873599777068467,0.25959579171516206,0.054419207970165015,0.11838003474949951,-0.10217469847569634,0.01585070218909661,-0.2182136070389513,-0.02580961112464434,-0.07012300185285386,-0.14109599122275768,0.2862189844112127,0.33850773497573367
Atp2b2,-1.1866387398991416,-1.0906865806160264,-1.798901662506332,-1.7400352932947234,-0.8099395314898216,-1.0659074733632152,-1.90809070556132,-1.7563660976062816,-1.259692114113429,-1.1935236584835818,0.31871836167611156,0.42056847924039104
Ceacam10,-1.6701776419991496,-1.6987706960105076,-1.143848509942537,-1.520591668371247,-1.5342692580276198,-1.4391931935718896,0.06575454369772218,-0.1160505507252583,-0.27334808586137566,-0.41089374711866455,-0.2537345203408436,-0.22940679467173067
Elovl5,0.9968079504618043,0.9921744403140741,1.0703527739915604,1.038356633376119,1.0316461606341365,1.0219375431082598,0.7819414880498056,0.753120857232048,0.5035882620389854,0.5483864770381721,0.371193958655273,0.3714346984235026
Rbp1,1.611459011891537,1.6259187000987587,1.4194956190159638,1.421513281567843,0.88348212416751,0.8754975718588983,1.0856750879019668,1.1318192805492564,1.0759070468240028,0.9953213088650569,-1.9286976836024878,-2.0966811870978375
