,LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND
98,BEL,2003,17.13,1.557,483.535,B,5017.22
99,BEL,2004,17.098,1.557,502.408,,5235.66
100,BEL,2005,17.026,1.536,512.107,,5366.17
101,BEL,2006,16.500999999999998,1.472,521.2180000000001,B,5497.79
102,BEL,2007,16.676,1.493,550.12,,5845.41
103,BEL,2008,16.407,1.5319999999999998,584.31,,6257.94
104,BEL,2009,15.792,1.59,605.096,,6532.91
105,BEL,2010,15.677,1.555,623.97,,6798.52
106,BEL,2011,15.345,1.547,638.092,,7049.48
107,BEL,2012,14.599,1.4869999999999999,629.735,,7007.85
108,BEL,2013,14.273,1.48,642.9580000000001,,7190.08
109,BEL,2014,13.850999999999999,1.44,644.9540000000001,,7229.33
110,BEL,2015,14.209000000000001,1.489,678.971,,7654.85
278,FRA,2000,16.899,1.6119999999999999,423.358,,25787.79
279,FRA,2001,17.333,1.675,464.88199999999995,,28523.97
280,FRA,2002,17.188,1.716,492.63199999999995,,30447.25
281,FRA,2003,17.559,1.7630000000000001,499.545,B,31094.12
282,FRA,2004,17.63,1.785,522.087,,32737.41
283,FRA,2005,17.567999999999998,1.788,548.873,,34677.44
284,FRA,2006,17.322,1.74,567.9159999999999,B,36131.6
285,FRA,2007,17.21,1.714,587.2330000000001,,37592.44
286,FRA,2008,17.044,1.722,607.178,,39087.08
287,FRA,2009,16.623,1.796,626.498,,40538.83
288,FRA,2010,16.358,1.7519999999999998,633.393,,41187.97
289,FRA,2011,16.072,1.724,647.845,,42331.99
290,FRA,2012,15.572000000000001,1.686,636.86,,41816.09
291,FRA,2013,14.995,1.639,649.403,,42859.67
292,FRA,2014,15.009,1.666,670.0419999999999,,44445.2
293,FRA,2015,14.738,1.631,667.551,,44474.96
323,DEU,2000,14.082,1.386,381.455,,31359.99
324,DEU,2001,14.692,1.4509999999999998,418.329,,34449.36
325,DEU,2002,14.915999999999999,1.51,447.719,,36931.67
326,DEU,2003,14.936,1.547,469.542,,38753.26
327,DEU,2004,14.347999999999999,1.454,462.92699999999996,,38199.0
328,DEU,2005,15.387,1.581,512.48,,42263.93
329,DEU,2006,14.982999999999999,1.518,527.646,,43465.6
330,DEU,2007,15.321,1.53,566.139,,46574.2
331,DEU,2008,15.339,1.5619999999999998,603.742,,49573.31
332,DEU,2009,15.207,1.6980000000000002,640.783,,52481.61
333,DEU,2010,14.968,1.652,660.571,,54019.47
334,DEU,2011,14.255,1.5319999999999998,654.053,,52504.09
335,DEU,2012,14.102,1.524,663.7769999999999,,53384.81
336,DEU,2013,13.995,1.535,694.318,,55993.7
337,DEU,2014,14.359000000000002,1.587,746.704,,60469.96
338,DEU,2015,14.31,1.5959999999999999,765.97,,62569.49
649,NLD,2000,12.285,0.867,273.687,,4358.61
650,NLD,2001,12.232000000000001,0.91,299.575,,4807.03
651,NLD,2002,12.017999999999999,0.956,324.925,,5247.19
652,NLD,2005,11.139000000000001,1.033,384.80800000000005,B,6280.02
653,NLD,2006,10.857000000000001,0.997,404.94800000000004,,6619.32
654,NLD,2007,11.004000000000001,1.016,441.76,,7236.78
655,NLD,2008,10.33,0.982,450.402,,7407.13
656,NLD,2009,9.982999999999999,1.022,450.574,,7448.16
657,NLD,2010,9.817,1.021,455.31800000000004,,7565.29
658,NLD,2011,9.53,1.003,461.879,,7710.18
659,NLD,2012,8.277000000000001,0.903,421.533,,7062.77
660,NLD,2013,7.757000000000001,0.845,411.405,,6913.43
661,NLD,2014,7.638,0.8290000000000001,406.47,,6855.12
662,NLD,2015,7.865,0.841,416.594,,7057.07
663,NLD,2016,8.024,0.843,432.13599999999997,P,7354.27
